pF,time
259.100006103516,542812327.422436
259.100006103516,542812327.463796
258.800018310547,542812327.504998
258.700012207031,542812327.546287
258.700012207031,542812327.587269
258.700012207031,542812327.628415
258.700012207031,542812327.669619
258.5,542812327.711561
258.5,542812327.752639
258.300018310547,542812327.793773
258.300018310547,542812327.835036
258.300018310547,542812327.876384
258.200012207031,542812327.917702
258.200012207031,542812327.958841
258.300018310547,542812328.000019
258.300018310547,542812328.041329
258.200012207031,542812328.082718
257.899993896484,542812328.123470
257.899993896484,542812328.164504
258.0,542812328.206292
258.0,542812328.247667
258.0,542812328.288799
258.0,542812328.330046
257.899993896484,542812328.371304
257.899993896484,542812328.412520
257.899993896484,542812328.453782
257.899993896484,542812328.495170
257.800018310547,542812328.536302
257.800018310547,542812328.577843
257.800018310547,542812328.618804
257.399993896484,542812328.660087
257.399993896484,542812328.701259
257.100006103516,542812328.742686
257.0,542812328.783995
256.600006103516,542812328.824805
256.300018310547,542812328.866505
256.0,542812328.907689
255.699996948242,542812328.949171
255.400009155273,542812328.990231
255.400009155273,542812329.031499
255.300003051758,542812329.072674
255.300003051758,542812329.113934
255.0,542812329.155066
254.800003051758,542812329.196433
254.800003051758,542812329.237709
254.699996948242,542812329.278953
254.100006103516,542812329.320203
253.900009155273,542812329.361550
253.600006103516,542812329.402691
253.199996948242,542812329.443998
252.900009155273,542812329.485181
252.800003051758,542812329.526477
252.100006103516,542812329.567686
251.800003051758,542812329.608948
251.699996948242,542812329.650152
251.0,542812329.691432
250.699996948242,542812329.732702
250.600006103516,542812329.773825
250.400009155273,542812329.814962
250.0,542812329.856448
249.699996948242,542812329.897700
249.600006103516,542812329.938971
249.300003051758,542812330.062856
249.100006103516,542812330.062997
249.100006103516,542812330.063280
249.0,542812330.103951
248.600006103516,542812330.145278
248.400009155273,542812330.186535
248.400009155273,542812330.227713
248.400009155273,542812330.268700
248.199996948242,542812330.310281
248.199996948242,542812330.351491
248.100006103516,542812330.392770
248.100006103516,542812330.434152
248.100006103516,542812330.475360
248.100006103516,542812330.516481
248.100006103516,542812330.557788
248.100006103516,542812330.598968
248.100006103516,542812330.640245
248.0,542812330.722725
248.100006103516,542812330.763550
248.100006103516,542812330.805224
248.300003051758,542812330.846492
248.900009155273,542812330.887515
249.100006103516,542812330.928994
249.199996948242,542812330.970255
249.5,542812331.011060
250.0,542812331.052751
250.600006103516,542812331.093990
250.600006103516,542812331.135312
251.300003051758,542812331.176511
252.0,542812331.217757
252.5,542812331.258988
253.100006103516,542812331.300266
253.699996948242,542812331.341010
253.900009155273,542812331.382800
254.400009155273,542812331.424050
254.699996948242,542812331.465336
255.0,542812331.506546
255.699996948242,542812331.547558
256.100006103516,542812331.589048
256.5,542812331.630340
256.899993896484,542812331.671519
257.399993896484,542812331.712765
257.399993896484,542812331.754076
257.5,542812331.795254
257.800018310547,542812331.836514
258.0,542812331.877771
258.0,542812331.918986
258.0,542812331.960328
258.0,542812332.001499
258.0,542812332.042826
258.0,542812332.084374
258.100006103516,542812332.125239
258.100006103516,542812332.166559
257.800018310547,542812332.207794
257.800018310547,542812332.249108
257.800018310547,542812332.290277
257.800018310547,542812332.331539
257.800018310547,542812332.372984
257.800018310547,542812332.414033
257.600006103516,542812332.455346
257.5,542812332.496542
257.5,542812332.537762
257.300018310547,542812332.578711
257.300018310547,542812332.620438
257.200012207031,542812332.661535
256.600006103516,542812332.702926
256.600006103516,542812332.743893
256.300018310547,542812332.785441
256.300018310547,542812332.826734
256.100006103516,542812332.867932
255.800003051758,542812332.909152
255.800003051758,542812332.950446
255.600006103516,542812332.991672
255.300003051758,542812333.032531
255.300003051758,542812333.073986
255.100006103516,542812333.115292
254.800003051758,542812333.156277
254.699996948242,542812333.197798
254.600006103516,542812333.239037
254.5,542812333.280488
254.300003051758,542812333.403693
254.300003051758,542812333.403912
254.199996948242,542812333.404500
254.199996948242,542812333.444957
254.100006103516,542812333.486534
254.0,542812333.527775
254.0,542812333.569125
254.0,542812333.610321
253.800003051758,542812333.651519
254.0,542812333.692515
253.800003051758,542812333.733992
253.699996948242,542812333.775338
253.699996948242,542812333.816785
253.600006103516,542812333.858107
253.5,542812333.899017
253.300003051758,542812333.940316
253.300003051758,542812333.981540
253.400009155273,542812334.022792
253.400009155273,542812334.064152
253.199996948242,542812334.105503
253.199996948242,542812334.146497
253.100006103516,542812334.187393
253.100006103516,542812334.229037
253.100006103516,542812334.270322
253.199996948242,542812334.311667
253.199996948242,542812334.352808
253.199996948242,542812334.394285
253.100006103516,542812334.435262
253.0,542812334.476709
252.900009155273,542812334.517820
252.900009155273,542812334.559137
252.900009155273,542812334.600475
252.900009155273,542812334.641779
252.699996948242,542812334.682970
252.699996948242,542812334.724291
252.699996948242,542812334.765166
252.900009155273,542812334.806555
252.900009155273,542812334.847840
253.0,542812334.888982
253.100006103516,542812334.930474
253.100006103516,542812334.971589
253.0,542812335.012572
252.800003051758,542812335.054080
252.800003051758,542812335.095108
253.0,542812335.136614
253.0,542812335.177633
253.0,542812335.219127
253.199996948242,542812335.260615
253.199996948242,542812335.301710
253.300003051758,542812335.342861
253.400009155273,542812335.383720
253.400009155273,542812335.425369
253.400009155273,542812335.466846
253.5,542812335.548964
253.600006103516,542812335.549257
253.900009155273,542812335.590518
254.100006103516,542812335.631884
254.100006103516,542812335.673018
254.600006103516,542812335.714354
254.800003051758,542812335.755638
254.800003051758,542812335.796890
255.600006103516,542812335.838051
255.800003051758,542812335.879256
256.5,542812335.920261
256.5,542812335.961918
256.300018310547,542812336.003150
256.300018310547,542812336.044359
256.300018310547,542812336.085473
256.300018310547,542812336.126906
256.100006103516,542812336.168033
255.900009155273,542812336.209101
255.900009155273,542812336.250515
256.0,542812336.291735
256.300018310547,542812336.333019
256.899993896484,542812336.374308
257.300018310547,542812336.415529
257.899993896484,542812336.456558
258.300018310547,542812336.498058
258.899993896484,542812336.539245
259.200012207031,542812336.580785
260.0,542812336.621923
260.899993896484,542812336.662924
261.5,542812336.704604
262.0,542812336.745509
263.0,542812336.786962
263.300018310547,542812336.828160
263.800018310547,542812336.869354
264.5,542812336.910737
265.200012207031,542812336.952020
265.899993896484,542812336.993161
266.399993896484,542812337.034413
266.800018310547,542812337.075690
267.0,542812337.116572
267.100006103516,542812337.158185
267.399993896484,542812337.199443
267.399993896484,542812337.240756
267.5,542812337.281940
267.600006103516,542812337.323174
267.600006103516,542812337.364360
267.600006103516,542812337.405205
267.5,542812337.446923
267.800018310547,542812337.488242
267.5,542812337.529418
267.5,542812337.570694
267.5,542812337.611667
267.399993896484,542812337.653205
267.200012207031,542812337.694485
267.200012207031,542812337.735864
267.200012207031,542812337.776958
266.800018310547,542812337.818294
266.600006103516,542812337.859450
266.300018310547,542812337.900697
266.300018310547,542812337.941964
265.600006103516,542812337.983199
265.399993896484,542812338.024489
265.399993896484,542812338.065757
264.899993896484,542812338.107023
264.399993896484,542812338.148143
264.0,542812338.189464
263.600006103516,542812338.230763
262.700012207031,542812338.272065
261.800018310547,542812338.313061
261.300018310547,542812338.354425
260.5,542812338.395676
259.700012207031,542812338.437087
258.899993896484,542812338.478219
258.100006103516,542812338.519275
257.700012207031,542812338.560724
257.0,542812338.601965
256.100006103516,542812338.643064
255.900009155273,542812338.684465
255.699996948242,542812338.767042
255.400009155273,542812338.767137
255.400009155273,542812338.808241
254.5,542812338.849311
254.300003051758,542812338.890757
253.900009155273,542812338.973239
253.900009155273,542812339.014019
254.0,542812339.014431
254.0,542812339.055824
253.699996948242,542812339.096991
253.699996948242,542812339.138216
253.5,542812339.179503
253.699996948242,542812339.220811
253.699996948242,542812339.262008
253.800003051758,542812339.303098
254.199996948242,542812339.344555
254.800003051758,542812339.385752
255.199996948242,542812339.426670
256.0,542812339.468238
256.800018310547,542812339.509506
256.800018310547,542812339.550571
257.300018310547,542812339.591988
257.399993896484,542812339.633056
257.800018310547,542812339.674323
258.200012207031,542812339.715742
258.200012207031,542812339.756688
258.399993896484,542812339.798308
258.399993896484,542812339.839209
258.200012207031,542812339.880734
258.200012207031,542812339.921857
258.0,542812339.963320
258.0,542812340.004499
257.899993896484,542812340.045753
258.0,542812340.086955
257.800018310547,542812340.127906
257.800018310547,542812340.169358
257.600006103516,542812340.210627
257.5,542812340.251782
257.600006103516,542812340.293422
257.600006103516,542812340.334580
257.600006103516,542812340.375491
257.399993896484,542812340.416856
257.300018310547,542812340.458280
257.100006103516,542812340.499733
257.100006103516,542812340.540828
257.100006103516,542812340.581780
257.100006103516,542812340.623293
257.100006103516,542812340.664684
257.0,542812340.705910
256.899993896484,542812340.747166
257.0,542812340.788380
257.100006103516,542812340.829664
257.100006103516,542812340.870765
256.899993896484,542812340.912154
256.899993896484,542812340.953575
256.800018310547,542812340.994753
256.300018310547,542812341.035989
256.200012207031,542812341.077189
256.200012207031,542812341.118499
256.100006103516,542812341.159668
256.0,542812341.200992
256.0,542812341.242170
255.900009155273,542812341.283436
255.900009155273,542812341.324673
255.699996948242,542812341.365966
255.699996948242,542812341.407175
255.699996948242,542812341.448379
255.699996948242,542812341.489664
255.600006103516,542812341.530935
255.699996948242,542812341.572240
255.600006103516,542812341.613473
255.600006103516,542812341.654547
255.600006103516,542812341.695813
255.400009155273,542812341.737209
255.5,542812341.778454
255.400009155273,542812341.819684
255.400009155273,542812341.861016
255.400009155273,542812341.902186
255.400009155273,542812341.943513
255.300003051758,542812341.984750
255.300003051758,542812342.025975
255.600006103516,542812342.067132
255.699996948242,542812342.108449
255.600006103516,542812342.149849
255.5,542812342.190968
255.400009155273,542812342.232226
255.400009155273,542812342.273466
255.400009155273,542812342.314795
255.300003051758,542812342.355797
255.300003051758,542812342.397352
255.300003051758,542812342.438517
255.199996948242,542812342.479697
255.300003051758,542812342.520773
255.300003051758,542812342.562049
255.400009155273,542812342.603507
255.5,542812342.644247
255.5,542812342.685980
255.300003051758,542812342.727214
255.300003051758,542812342.768560
255.400009155273,542812342.809275
255.400009155273,542812342.851204
255.5,542812342.892237
255.400009155273,542812342.933475
255.5,542812342.974820
255.600006103516,542812343.015474
255.699996948242,542812343.057297
255.699996948242,542812343.098461
255.699996948242,542812343.139717
255.699996948242,542812343.181097
255.900009155273,542812343.222197
255.900009155273,542812343.263498
255.800003051758,542812343.304799
255.699996948242,542812343.345991
255.699996948242,542812343.387282
255.600006103516,542812343.428541
255.600006103516,542812343.469742
255.600006103516,542812343.511121
255.400009155273,542812343.552231
255.400009155273,542812343.593318
255.5,542812343.634934
255.600006103516,542812343.675937
255.600006103516,542812343.717073
255.600006103516,542812343.758331
255.600006103516,542812343.799383
255.800003051758,542812343.841011
255.900009155273,542812343.882366
256.0,542812343.923482
256.100006103516,542812343.964600
256.100006103516,542812344.006141
256.399993896484,542812344.047334
256.5,542812344.088646
256.700012207031,542812344.129946
256.700012207031,542812344.171255
256.700012207031,542812344.212273
257.399993896484,542812344.253527
257.399993896484,542812344.294764
258.100006103516,542812344.336029
258.399993896484,542812344.377470
258.800018310547,542812344.418539
259.0,542812344.459850
259.0,542812344.501190
258.600006103516,542812344.542235
258.399993896484,542812344.583598
258.300018310547,542812344.624809
258.300018310547,542812344.666035
258.800018310547,542812344.707467
259.100006103516,542812344.748607
260.200012207031,542812344.789389
261.300018310547,542812344.830707
263.300018310547,542812344.872469
264.0,542812344.913736
265.100006103516,542812344.954988
265.800018310547,542812344.996224
267.0,542812345.037557
268.100006103516,542812345.078684
270.200012207031,542812345.119967
272.0,542812345.161164
273.399993896484,542812345.202449
274.700012207031,542812345.243692
275.399993896484,542812345.284941
276.5,542812345.326203
276.700012207031,542812345.367424
277.200012207031,542812345.408663
277.300018310547,542812345.449997
277.700012207031,542812345.491253
277.800018310547,542812345.532593
278.300018310547,542812345.573612
279.200012207031,542812345.614967
279.700012207031,542812345.656268
279.899993896484,542812345.697282
280.200012207031,542812345.738610
281.399993896484,542812345.779966
282.5,542812345.820775
282.600006103516,542812345.862462
282.600006103516,542812345.903705
282.5,542812345.945020
282.300018310547,542812345.986222
282.300018310547,542812346.027307
282.0,542812346.068718
281.899993896484,542812346.109988
281.800018310547,542812346.151281
281.800018310547,542812346.192526
281.800018310547,542812346.233725
281.600006103516,542812346.275018
281.600006103516,542812346.316202
281.300018310547,542812346.357500
281.0,542812346.398708
280.800018310547,542812346.440011
280.399993896484,542812346.481243
280.300018310547,542812346.522463
280.0,542812346.563413
280.0,542812346.605037
279.200012207031,542812346.646305
277.399993896484,542812346.687503
276.200012207031,542812346.728298
274.800018310547,542812346.769864
274.300018310547,542812346.811242
273.800018310547,542812346.852577
273.5,542812346.893735
273.300018310547,542812346.935033
272.5,542812346.976210
272.5,542812347.017278
272.5,542812347.058773
272.300018310547,542812347.099978
272.300018310547,542812347.141135
271.899993896484,542812347.182559
271.700012207031,542812347.223813
271.600006103516,542812347.265022
271.300018310547,542812347.306294
270.600006103516,542812347.347576
269.899993896484,542812347.388808
269.5,542812347.429993
268.899993896484,542812347.471349
268.700012207031,542812347.512326
267.899993896484,542812347.553731
267.600006103516,542812347.594994
267.600006103516,542812347.636067
267.700012207031,542812347.677516
267.700012207031,542812347.718807
267.700012207031,542812347.759900
267.5,542812347.801283
267.100006103516,542812347.842547
267.0,542812347.883831
267.0,542812347.925053
267.0,542812347.966478
266.899993896484,542812348.007646
266.300018310547,542812348.048768
265.700012207031,542812348.089997
265.300018310547,542812348.131092
265.0,542812348.172550
264.600006103516,542812348.213822
264.399993896484,542812348.254866
263.899993896484,542812348.296431
263.899993896484,542812348.337439
263.899993896484,542812348.378598
263.899993896484,542812348.420057
263.800018310547,542812348.461328
263.700012207031,542812348.502665
263.300018310547,542812348.543457
263.0,542812348.585017
262.800018310547,542812348.626402
262.800018310547,542812348.667375
262.800018310547,542812348.708988
262.600006103516,542812348.749878
262.300018310547,542812348.791476
262.300018310547,542812348.832549
262.300018310547,542812348.873928
262.300018310547,542812348.915195
262.0,542812348.956477
261.899993896484,542812348.997818
261.899993896484,542812349.038944
261.600006103516,542812349.080175
261.300018310547,542812349.121512
261.0,542812349.162708
260.800018310547,542812349.203969
260.5,542812349.245008
260.200012207031,542812349.286259
260.200012207031,542812349.327527
260.200012207031,542812349.369050
260.200012207031,542812349.409718
259.899993896484,542812349.451098
259.899993896484,542812349.493941
259.100006103516,542812349.533787
258.899993896484,542812349.575241
258.600006103516,542812349.616491
258.300018310547,542812349.657851
258.300018310547,542812349.698852
257.800018310547,542812349.740241
257.600006103516,542812349.781517
257.600006103516,542812349.822702
257.899993896484,542812349.863973
258.100006103516,542812349.905203
258.399993896484,542812349.946512
259.600006103516,542812349.987781
260.800018310547,542812350.029076
261.200012207031,542812350.070226
261.300018310547,542812350.111526
261.300018310547,542812350.152796
261.300018310547,542812350.193985
261.300018310547,542812350.235284
261.300018310547,542812350.276496
261.399993896484,542812350.317751
261.600006103516,542812350.358959
261.600006103516,542812350.400250
261.5,542812350.441618
261.5,542812350.482779
262.0,542812350.524047
262.100006103516,542812350.564984
262.399993896484,542812350.606570
263.200012207031,542812350.647721
264.200012207031,542812350.688830
264.800018310547,542812350.730290
265.0,542812350.771535
265.100006103516,542812350.812789
266.0,542812350.853731
266.5,542812350.895237
266.899993896484,542812350.936531
267.0,542812350.977766
267.399993896484,542812351.018790
268.100006103516,542812351.060078
268.899993896484,542812351.101558
270.100006103516,542812351.142805
270.899993896484,542812351.184045
271.5,542812351.225273
272.200012207031,542812351.266346
272.800018310547,542812351.307747
273.300018310547,542812351.349001
274.100006103516,542812351.390202
274.700012207031,542812351.431508
275.700012207031,542812351.472561
276.700012207031,542812351.513995
278.100006103516,542812351.555388
279.100006103516,542812351.596512
280.600006103516,542812351.637789
281.700012207031,542812351.679024
282.600006103516,542812351.720417
283.300018310547,542812351.761526
284.200012207031,542812351.802864
285.200012207031,542812351.843869
285.899993896484,542812351.885401
286.600006103516,542812351.926512
287.899993896484,542812351.967828
288.600006103516,542812352.009118
289.300018310547,542812352.050433
290.200012207031,542812352.091340
290.800018310547,542812352.132783
291.100006103516,542812352.174153
291.600006103516,542812352.215490
291.600006103516,542812352.256371
291.700012207031,542812352.297792
291.700012207031,542812352.339084
291.600006103516,542812352.380453
291.399993896484,542812352.421605
290.899993896484,542812352.462928
290.800018310547,542812352.504181
290.0,542812352.545398
288.700012207031,542812352.586296
287.899993896484,542812352.627902
287.399993896484,542812352.669206
286.5,542812352.710402
285.700012207031,542812352.751685
284.600006103516,542812352.793022
283.399993896484,542812352.834220
282.700012207031,542812352.875451
281.800018310547,542812352.916675
281.300018310547,542812352.957926
280.600006103516,542812352.999201
279.899993896484,542812353.039901
279.300018310547,542812353.081747
278.399993896484,542812353.122982
277.800018310547,542812353.164234
277.399993896484,542812353.205491
276.800018310547,542812353.246725
276.100006103516,542812353.287716
276.100006103516,542812353.329177
275.700012207031,542812353.370455
275.200012207031,542812353.411720
274.800018310547,542812353.452940
274.600006103516,542812353.494213
274.5,542812353.535472
273.899993896484,542812353.617997
273.600006103516,542812353.618087
273.200012207031,542812353.659195
272.800018310547,542812353.700301
272.700012207031,542812353.741556
272.300018310547,542812353.906460
272.0,542812353.906647
271.899993896484,542812353.906963
271.700012207031,542812353.907484
271.600006103516,542812353.947775
271.5,542812353.989250
271.5,542812354.030371
271.5,542812354.071523
271.300018310547,542812354.112828
271.200012207031,542812354.154053
271.100006103516,542812354.195308
271.100006103516,542812354.236339
271.100006103516,542812354.277974
270.800018310547,542812354.319020
270.800018310547,542812354.360307
270.5,542812354.401525
270.200012207031,542812354.442991
270.100006103516,542812354.484153
269.800018310547,542812354.525091
269.800018310547,542812354.566494
269.800018310547,542812354.607511
269.800018310547,542812354.649195
269.800018310547,542812354.690346
269.800018310547,542812354.731568
269.5,542812354.772837
269.5,542812354.814147
269.5,542812354.855522
269.5,542812354.896548
269.399993896484,542812354.937832
269.399993896484,542812354.979317
269.399993896484,542812355.020295
269.899993896484,542812355.061576
270.700012207031,542812355.102989
271.800018310547,542812355.144265
272.800018310547,542812355.185516
274.0,542812355.226775
275.100006103516,542812355.267810
275.700012207031,542812355.309218
275.700012207031,542812355.350502
276.200012207031,542812355.391781
276.700012207031,542812355.433117
277.700012207031,542812355.474249
278.600006103516,542812355.515595
279.899993896484,542812355.556827
281.300018310547,542812355.598090
281.899993896484,542812355.639319
281.899993896484,542812355.680505
281.800018310547,542812355.721801
281.399993896484,542812355.762701
281.300018310547,542812355.804546
281.100006103516,542812355.845522
281.100006103516,542812355.886761
281.100006103516,542812355.928015
280.899993896484,542812355.969264
280.800018310547,542812356.010455
280.600006103516,542812356.051847
280.399993896484,542812356.093003
280.600006103516,542812356.134487
280.399993896484,542812356.175391
280.600006103516,542812356.216838
280.5,542812356.258080
280.700012207031,542812356.382044
280.899993896484,542812356.382176
280.899993896484,542812356.382364
280.800018310547,542812356.422863
280.700012207031,542812356.464317
280.300018310547,542812356.505525
280.399993896484,542812356.546770
280.300018310547,542812356.588211
280.200012207031,542812356.628785
280.200012207031,542812356.670564
280.200012207031,542812356.711929
280.200012207031,542812356.752834
280.0,542812356.794242
279.899993896484,542812356.835559
279.800018310547,542812356.876761
279.600006103516,542812356.918226
279.5,542812356.959495
279.399993896484,542812357.000803
279.399993896484,542812357.041937
279.399993896484,542812357.083205
279.399993896484,542812357.124464
279.200012207031,542812357.165705
278.899993896484,542812357.206844
278.5,542812357.248203
278.200012207031,542812357.289494
277.700012207031,542812357.330707
277.300018310547,542812357.371797
276.5,542812357.413043
275.399993896484,542812357.454503
274.800018310547,542812357.495723
274.5,542812357.536923
273.800018310547,542812357.578246
273.399993896484,542812357.619448
273.0,542812357.660370
272.300018310547,542812357.701984
271.800018310547,542812357.743229
271.399993896484,542812357.784468
270.600006103516,542812357.825706
270.0,542812357.908097
269.5,542812357.948880
269.100006103516,542812357.949311
268.5,542812357.990738
